"ti_a1";"tf_a1";"ti_a2";"tf_a2";"ti_a3";"tf_a3"
"2015-11-03 16:31:07.722-02";"2015-11-03 16:31:08.758-02";"2015-11-03 16:31:14.113-02";"2015-11-03 16:31:15.169-02";"2015-11-03 16:31:20.578-02";"2015-11-03 16:31:21.602-02"
"2015-11-03 16:31:07.729-02";"2015-11-03 16:31:08.761-02";"2015-11-03 16:31:14.189-02";"2015-11-03 16:31:15.213-02";"2015-11-03 16:31:20.588-02";"2015-11-03 16:31:21.611-02"
"2015-11-03 16:31:04.544-02";"2015-11-03 16:31:05.617-02";"2015-11-03 16:31:11.012-02";"2015-11-03 16:31:12.036-02";"2015-11-03 16:31:17.333-02";"2015-11-03 16:31:18.357-02"
"2015-11-03 16:31:04.613-02";"2015-11-03 16:31:05.655-02";"2015-11-03 16:31:11.059-02";"2015-11-03 16:31:12.083-02";"2015-11-03 16:31:17.34-02";"2015-11-03 16:31:18.365-02"
"2015-11-03 17:00:34.422-02";"2015-11-03 17:00:35.495-02";"2015-11-03 17:00:40.878-02";"2015-11-03 17:00:41.909-02";"2015-11-03 17:00:47.124-02";"2015-11-03 17:00:48.155-02"
"2015-11-03 17:00:34.427-02";"2015-11-03 17:00:35.494-02";"2015-11-03 17:00:40.898-02";"2015-11-03 17:00:41.918-02";"2015-11-03 17:00:47.125-02";"2015-11-03 17:00:48.155-02"
"2015-11-03 17:00:34.361-02";"2015-11-03 17:00:35.495-02";"2015-11-03 17:00:40.913-02";"2015-11-03 17:00:41.932-02";"2015-11-03 17:00:47.132-02";"2015-11-03 17:00:48.155-02"
"2015-11-03 17:00:34.367-02";"2015-11-03 17:00:35.494-02";"2015-11-03 17:00:40.956-02";"2015-11-03 17:00:41.975-02";"2015-11-03 17:00:47.132-02";"2015-11-03 17:00:48.156-02"
"2015-11-03 17:00:34.4-02";"2015-11-03 17:00:35.494-02";"2015-11-03 17:00:40.962-02";"2015-11-03 17:00:41.983-02";"2015-11-03 17:00:47.139-02";"2015-11-03 17:00:48.16-02"
"2015-11-03 17:00:37.563-02";"2015-11-03 17:00:38.675-02";"2015-11-03 17:00:43.951-02";"2015-11-03 17:00:44.97-02";"2015-11-03 17:00:50.189-02";"2015-11-03 17:00:51.213-02"
"2015-11-03 17:00:37.566-02";"2015-11-03 17:00:38.674-02";"2015-11-03 17:00:43.955-02";"2015-11-03 17:00:44.974-02";"2015-11-03 17:00:50.194-02";"2015-11-03 17:00:51.229-02"
"2015-11-03 17:00:37.58-02";"2015-11-03 17:00:38.701-02";"2015-11-03 17:00:43.972-02";"2015-11-03 17:00:44.991-02";"2015-11-03 17:00:50.211-02";"2015-11-03 17:00:51.243-02"
"2015-11-03 17:01:27.283-02";"2015-11-03 17:01:28.335-02";"2015-11-03 17:01:33.621-02";"2015-11-03 17:01:34.646-02";"2015-11-03 17:01:40.006-02";"2015-11-03 17:01:41.034-02"
"2015-11-03 17:01:27.328-02";"2015-11-03 17:01:28.359-02";"2015-11-03 17:01:33.624-02";"2015-11-03 17:01:34.648-02";"2015-11-03 17:01:40.006-02";"2015-11-03 17:01:41.032-02"
"2015-11-03 17:01:27.328-02";"2015-11-03 17:01:28.359-02";"2015-11-03 17:01:33.671-02";"2015-11-03 17:01:34.705-02";"2015-11-03 17:01:40.013-02";"2015-11-03 17:01:41.167-02"
"2015-11-03 17:01:27.328-02";"2015-11-03 17:01:28.364-02";"2015-11-03 17:01:33.67-02";"2015-11-03 17:01:34.7-02";"2015-11-03 17:01:40.04-02";"2015-11-03 17:01:41.167-02"
"2015-11-03 17:01:27.384-02";"2015-11-03 17:01:28.41-02";"2015-11-03 17:01:33.687-02";"2015-11-03 17:01:34.711-02";"2015-11-03 17:01:40.046-02";"2015-11-03 17:01:41.168-02"
"2015-11-03 17:01:30.368-02";"2015-11-03 17:01:31.403-02";"2015-11-03 17:01:36.671-02";"2015-11-03 17:01:37.699-02";"2015-11-03 17:01:43.067-02";"2015-11-03 17:01:44.165-02"
"2015-11-03 17:01:30.406-02";"2015-11-03 17:01:31.436-02";"2015-11-03 17:01:36.699-02";"2015-11-03 17:01:37.719-02";"2015-11-03 17:01:43.064-02";"2015-11-03 17:01:44.165-02"
"2015-11-03 17:01:30.421-02";"2015-11-03 17:01:31.451-02";"2015-11-03 17:01:36.729-02";"2015-11-03 17:01:37.753-02";"2015-11-03 17:01:43.202-02";"2015-11-03 17:01:44.221-02"
"2015-11-03 18:22:55.886-02";"2015-11-03 18:22:56.97-02";"2015-11-03 18:23:02.434-02";"2015-11-03 18:23:03.46-02";"2015-11-03 18:23:08.685-02";"2015-11-03 18:23:09.775-02"
"2015-11-03 18:22:55.919-02";"2015-11-03 18:22:56.971-02";"2015-11-03 18:23:02.474-02";"2015-11-03 18:23:03.5-02";"2015-11-03 18:23:08.692-02";"2015-11-03 18:23:09.771-02"
"2015-11-03 18:22:55.925-02";"2015-11-03 18:22:56.97-02";"2015-11-03 18:23:02.511-02";"2015-11-03 18:23:03.538-02";"2015-11-03 18:23:08.737-02";"2015-11-03 18:23:09.771-02"
"2015-11-03 18:22:59.051-02";"2015-11-03 18:23:00.092-02";"2015-11-03 18:23:05.506-02";"2015-11-03 18:23:06.544-02";"2015-11-03 18:23:11.821-02";"2015-11-03 18:23:12.842-02"
